ID,Name,Specialty,ContactInfo,Location,Hospital
1,Dr. Ramesh Patel,Endocrinologist,9001234567,Hyderabad,Apollo Hospitals
2,Dr. Sita Narayan,Cardiologist,9002345678,Secunderabad,Yashoda Hospitals
3,Dr. Ankit Singh,Pulmonologist,9003456789,Warangal,KIMS Hospitals
4,Dr. Priya Kapoor,General Practitioner,9004567890,Nizamabad,Sunshine Hospitals
5,Dr. Anil Mehta,Cardiologist,9005678901,Karimnagar,MaxCure Hospitals
6,Dr. Rajesh Kumar,Nephrologist,9006789012,Khammam,CARE Hospitals
7,Dr. Kavita Sharma,Orthopedist,9007890123,Nalgonda,Global Hospitals
8,Dr. Manoj Gupta,Endocrinologist,9008901234,Mahbubnagar,Continental Hospitals
9,Dr. Sneha Reddy,Psychiatrist,9009012345,Rangareddy,Medicover Hospitals
10,Dr. Ajay Verma,General Practitioner,9001234568,Medak,AIG Hospitals
